>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP127265.1 Escherichia coli TW14425 chromosome, complete genome
>NZ_CP104788.1 Escherichia coli strain SHP24 chromosome, complete genome
>NZ_CP024134.1 Escherichia coli strain 14EC017 chromosome, complete genome
>NZ_CP038366.1 Escherichia coli O157:H7 strain F6667 chromosome, complete genome
>NZ_CP060974.1 Escherichia coli strain EC4 chromosome, complete genome
>NZ_CP023349.1 Escherichia coli strain ETEC-2264 chromosome, complete genome
>NZ_CP104114.1 Escherichia coli strain USDA-ARS-USMARC-51408 chromosome, complete genome
>NZ_CP024659.1 Escherichia coli strain RM9872-C1 chromosome, complete genome
>NZ_CP053247.1 Escherichia coli strain SCU-482 chromosome, complete genome
>NZ_CP086336.1 Escherichia coli strain EBJ001 chromosome, complete genome
>NZ_CP122868.1 Escherichia coli strain ETEC1721 chromosome, complete genome
>NZ_CP075663.1 Escherichia coli strain STEC2017-197 chromosome, complete genome
>NZ_CP020048.1 Escherichia coli strain AR_0118 chromosome, complete genome
>NZ_CP029747.1 Escherichia coli strain 2016C-3878 chromosome, complete genome
>NZ_CP026085.1 Escherichia coli strain DH5alpha chromosome, complete genome
>NZ_LR882052.1 Escherichia coli isolate 2015-01-466 chromosome 1, complete sequence
>NZ_CP124495.1 Escherichia coli strain AVS0662 chromosome, complete genome
>NZ_CP104629.1 Escherichia coli strain AHM21C2872I chromosome, complete genome
>NZ_CP082774.1 Escherichia coli O16:H6 strain CU37RT-2 chromosome, complete genome
>NZ_CP028759.1 Escherichia coli strain A15 chromosome, complete genome
>NZ_CP101920.1 Escherichia coli strain QA-1986 630 chromosome, complete genome
>NZ_OW849377.1 Escherichia coli isolate 162 chromosome main, complete sequence
>NZ_CP082349.1 Escherichia coli strain AL.H8 chromosome, complete genome
>NZ_CP081007.1 Escherichia coli strain XL1-Blue chromosome, complete genome
>NZ_CP028644.1 Escherichia coli strain 131 chromosome, complete genome
>NZ_CP024223.1 Escherichia coli O169:H41 strain 2014EL-1345-2 chromosome, complete genome
>NZ_CP038859.1 Escherichia coli strain 357900 chromosome, complete genome
>NZ_AP025205.2 Escherichia coli strain 2017.04.03CC chromosome, complete genome
>NZ_CP069500.1 Escherichia coli strain FDAARGOS_1258 chromosome, complete genome
>NZ_CP086338.1 Escherichia coli strain EJN001 chromosome, complete genome
>NZ_LS992185.1 Escherichia coli isolate Escherichia coli str. 3426 chromosome 1, complete sequence
>NZ_CP062863.1 Escherichia coli strain Res13-Lact-PEB14-36 chromosome, complete genome
>NZ_CP069480.1 Escherichia coli strain FDAARGOS_1257 chromosome, complete genome
>NZ_CP062249.1 Escherichia coli strain AML002_ev01 chromosome, complete genome
>NC_004431.1 Escherichia coli CFT073, complete sequence
>NZ_CP070951.1 Escherichia fergusonii strain EF31 chromosome, complete genome
>NZ_ABACVG020000001.1 Escherichia coli strain 2020CK-00188 chromosome, whole genome shotgun sequence
>NZ_CP078137.1 Escherichia coli strain Sx181-0-1 chromosome, complete genome
>NZ_CP079780.1 Escherichia coli strain BL12 chromosome, complete genome
>NZ_CP076646.1 Escherichia coli strain GD33 chromosome, complete genome
>NZ_CP043406.1 Escherichia coli strain NMBU-W13E19 chromosome, complete genome
>NZ_CP057481.1 Escherichia fergusonii strain RHB25-C10 chromosome, complete genome
>NZ_CP106998.1 Escherichia coli strain SY221 chromosome, complete genome
>NZ_CP070227.1 Escherichia coli strain JA0072 chromosome, complete genome
>NZ_CP044313.1 Escherichia coli strain RM11911 chromosome, complete genome
>NZ_CP064383.1 Escherichia coli O157:H7 strain PartA-EcoliO157H7-RM8376 chromosome, complete genome
>NZ_CP015240.1 Escherichia coli strain 2011C-3911 chromosome, complete genome
>NZ_CP032078.1 Escherichia coli strain CT30 chromosome, complete genome
>NZ_CP033884.1 Escherichia coli strain 50579417 chromosome, complete genome
>NZ_CP031916.1 Escherichia coli O45:H2 strain FWSEC0003 chromosome, complete genome
>NZ_CP070148.1 Escherichia coli strain FDAARGOS_1297 chromosome, complete genome
>NZ_OX460315.1 Escherichia coli strain EC0880B isolate EC0880B_R4 chromosome 1, complete sequence
>NZ_CP024821.1 Escherichia coli strain CREC-591 chromosome, complete genome
>NZ_CP010438.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_AP023219.2 Escherichia coli strain M505 chromosome, complete genome
>NZ_CP043825.1 Escherichia coli strain RM8082 chromosome, complete genome
>NZ_AP024518.1 Escherichia coli strain E148 chromosome, complete genome
>NZ_CP028600.1 Escherichia coli strain 147 chromosome, complete genome
>NZ_CP128218.1 Escherichia coli strain TG1 chromosome, complete genome
>NZ_CP122768.1 Escherichia coli strain ETEC1738 chromosome, complete genome
>NZ_CP098195.1 Escherichia coli strain Z0117EC0098 chromosome, complete genome
>NZ_LR778151.1 Escherichia coli isolate SC476 chromosome 1
>NZ_CP128877.1 Escherichia coli strain TUM14759 chromosome, complete genome
>NZ_CP111095.1 Escherichia coli strain TW14588 chromosome, complete genome
>NZ_CP056951.1 Escherichia fergusonii strain RHB42-C01 chromosome, complete genome
>NZ_CP083610.1 Escherichia coli strain EC2648-Vir1 chromosome, complete genome
>NZ_CP043284.1 Escherichia coli strain WCHEC025985 chromosome, complete genome
